Date : 2021-05-11 23:02:47
Directory : ./
Total : 764 files,  103643 codes, 40894 comments, 28426 blanks, all 172963 lines, 28.29% comment rate

Languages
+------------------+------------+------------+------------+------------+------------+--------------+
| language         | files      | code       | comment    | blank      | total      | comment rate |
| common/test/test_spatial.cpp                                                      | C++              |        224 |         81 |         47 |        352 |       26.56% |
| common/test/test_utilities.cpp                                                    | C++              |         58 |          8 |         14 |         80 |       12.12% |
| common/test/test_yaml.cpp                                                         | C++              |         26 |          0 |          6 |         32 |        0.00% |
| common/test/wo_test_spline.cpp                                                    | C++              |        263 |         34 |         60 |        357 |       11.45% |
| config.h.cmake                                                                    | CMake            |          4 |          0 |          3 |          7 |        0.00% |
| config/c3-jpos-user-parameters.yaml                                               | YAML             |          6 |          1 |          1 |          8 |       14.29% |
| config/cheetah-3-defaults.yaml                                                    | YAML             |         19 |         12 |          2 |         33 |       38.71% |
| config/default-terrain-old.yaml                                                   | YAML             |         15 |         58 |         10 |         83 |       79.45% |
| config/default-terrain.yaml                                                       | YAML             |         18 |          3 |          1 |         22 |       14.29% |
| config/default-user-parameters-file.yaml                                          | YAML             |          2 |          0 |          2 |          4 |        0.00% |
| config/initial_jpos_ctrl.yaml                                                     | YAML             |         10 |          5 |          4 |         19 |       33.33% |
| config/mc-mit-ctrl-user-parameters.yaml                                           | YAML             |         68 |         16 |         19 |        103 |       19.05% |
| config/mini-cheetah-defaults.yaml                                                 | YAML             |         19 |          7 |          2 |         28 |       26.92% |
| config/no-parameters.yaml                                                         | YAML             |          1 |          1 |          2 |          4 |       50.00% |
| config/simulator-defaults.yaml                                                    | YAML             |         22 |          1 |          2 |         25 |        4.35% |
| config/stair-climb/box-stairs.yaml                                                | YAML             |         37 |          2 |          3 |         42 |        5.13% |
| config/stair-climb/stair-terrain.yaml                                             | YAML             |         18 |         55 |         10 |         83 |       75.34% |
| config/test-yaml.yaml                                                             | YAML             |          6 |          0 |          3 |          9 |        0.00% |
| documentation/doxygen/README.md                                                   | Markdown         |         10 |          0 |          2 |         12 |        0.00% |
| documentation/getting_started.md                                                  | Markdown         |         87 |          0 |         39 |        126 |        0.00% |
| documentation/running_mini_cheetah.md                                             | Markdown         |         34 |          0 |         18 |         52 |        0.00% |
| lcm-types/old_types/README.md                                                     | Markdown         |          1 |          0 |          1 |          2 |        0.00% |
| lcm_data/exp_data_convert.sh                                                      | Shell Script     |          1 |          1 |          1 |          3 |       50.00% |
| lcm_data/matlab_plot/functions/fn_open_figures.m                                  | Objective-C      |         18 |          0 |          2 |         20 |        0.00% |
| lcm_data/matlab_plot/functions/fn_read_file.m                                     | Objective-C      |         61 |          0 |          1 |         62 |        0.00% |
| lcm_data/matlab_plot/imu_data.m                                                   | Objective-C      |         68 |          0 |         11 |         79 |        0.00% |
| lcm_data/matlab_plot/leg_data.m                                                   | Objective-C      |         83 |          0 |         13 |         96 |        0.00% |
| lcm_data/matlab_plot/plot_wbc_data.m                                              | Objective-C      |        133 |          0 |         20 |        153 |        0.00% |
| lcm_data/matlab_plot/two_leg_balance.m                                            | Objective-C      |         88 |          0 |         21 |        109 |        0.00% |
| lcm_data/matlab_plot/two_leg_balance_robot.m                                      | Objective-C      |        115 |          0 |         24 |        139 |        0.00% |
| lcm_data/matlab_plot/two_leg_balance_wbc.m                                        | Objective-C      |         52 |          0 |          8 |         60 |        0.00% |
| lcm_data/sim_data_convert.sh                                                      | Shell Script     |          1 |          1 |          1 |          3 |       50.00% |
| rc_test/rc_test_main.cpp                                                          | C++              |        161 |         11 |         44 |        216 |        6.40% |
| robot/include/HardwareBridge.h                                                    | C++              |         96 |         15 |         19 |        130 |       13.51% |
| robot/include/JPosInitializer.h                                                   | C++              |         24 |          7 |          8 |         39 |       22.58% |
| robot/include/RobotController.h                                                   | C++              |         31 |         11 |          8 |         50 |       26.19% |
| robot/include/RobotRunner.h                                                       | C++              |         66 |          9 |         19 |         94 |       12.00% |
| robot/include/SimulationBridge.h                                                  | C++              |         39 |          5 |          9 |         53 |       11.36% |
| robot/include/main_helper.h                                                       | C++              |          7 |          4 |          5 |         16 |       36.36% |
| robot/include/rt/rt_ethercat.h                                                    | C++              |         10 |          0 |          7 |         17 |        0.00% |
| robot/include/rt/rt_rc_interface.h                                                | C++              |         28 |          6 |         10 |         44 |       17.65% |
| robot/include/rt/rt_sbus.h                                                        | C++              |         22 |          4 |         15 |         41 |       15.38% |
| robot/include/rt/rt_serial.h                                                      | C++              |          8 |          7 |          7 |         22 |       46.67% |
| robot/include/rt/rt_spi.h                                                         | C++              |         66 |         11 |         20 |         97 |       14.29% |
| robot/include/rt/rt_vectornav.h                                                   | C++              |         15 |          4 |          9 |         28 |       21.05% |
| robot/src/HardwareBridge.cpp                                                      | C++              |        415 |         85 |         93 |        593 |       17.00% |
| robot/src/JPosInitializer.cpp                                                     | C++              |         68 |          7 |         15 |         90 |        9.33% |
| robot/src/RobotRunner.cpp                                                         | C++              |        175 |         51 |         39 |        265 |       22.57% |
| robot/src/SimulationBridge.cpp                                                    | C++              |        199 |         38 |         36 |        273 |       16.03% |
| robot/src/main_helper.cpp                                                         | C++              |         83 |         14 |         12 |        109 |       14.43% |
| robot/src/rt/rt_ethercat.cpp                                                      | C++              |        265 |         28 |         37 |        330 |        9.56% |
| robot/src/rt/rt_rc_interface.cpp                                                  | C++              |        127 |         23 |         38 |        188 |       15.33% |
| robot/src/rt/rt_sbus.cpp                                                          | C++              |        144 |         40 |         30 |        214 |       21.74% |
| robot/src/rt/rt_serial.cpp                                                        | C++              |         63 |         33 |         24 |        120 |       34.38% |
| robot/src/rt/rt_spi.cpp                                                           | C++              |        231 |         63 |         69 |        363 |       21.43% |
| robot/src/rt/rt_vectornav.cpp                                                     | C++              |        169 |         35 |         35 |        239 |       17.16% |
| scripts/autostart.sh                                                              | Shell Script     |          2 |          4 |          4 |         10 |       66.67% |
| scripts/config_network_lcm.sh                                                     | Shell Script     |         55 |          2 |         12 |         69 |        3.51% |
| scripts/find_qt_path.sh                                                           | Shell Script     |          2 |          1 |          4 |          7 |       33.33% |
| scripts/launch_lcm_spy.sh                                                         | Shell Script     |          5 |          1 |          1 |          7 |       16.67% |
| scripts/launch_lcm_spy_jdk_fix.sh                                                 | Shell Script     |          5 |          1 |          1 |          7 |       16.67% |
| scripts/lcm-log2smat/Makefile                                                     | Makefile         |         27 |         13 |         13 |         53 |       32.50% |
| scripts/lcm-log2smat/README.md                                                    | Markdown         |         70 |          0 |         42 |        112 |        0.00% |
| scripts/lcm-log2smat/cmake/pods.cmake                                             | CMake            |        363 |          0 |         50 |        413 |        0.00% |
| scripts/lcm-log2smat/python/lcmlog2smat/__init__.py                               | Python           |          0 |          0 |          1 |          1 |        0.00% |
| scripts/lcm-log2smat/python/lcmlog2smat/log_to_smat.py                            | Python           |        206 |         37 |         57 |        300 |       15.23% |
| scripts/lcm-log2smat/python/lcmlog2smat/scan_for_lcmtypes.py                      | Python           |         76 |         22 |         15 |        113 |       22.45% |
| scripts/log_convert.sh                                                            | Shell Script     |          5 |          1 |          3 |          9 |       16.67% |
| scripts/make_types.sh                                                             | Shell Script     |         24 |          3 |         10 |         37 |       11.11% |
| scripts/make_types_no_java.sh                                                     | Shell Script     |         18 |          3 |         10 |         31 |       14.29% |
| scripts/run_clang_format.sh                                                       | Shell Script     |          2 |          1 |          2 |          5 |       33.33% |
| scripts/run_mc.sh                                                                 | Shell Script     |          4 |          4 |          3 |         11 |       50.00% |
| scripts/run_mc_2.sh                                                               | Shell Script     |          3 |          6 |          3 |         12 |       66.67% |
| scripts/run_mc_2_autostart.sh                                                     | Shell Script     |         11 |          6 |          5 |         22 |       35.29% |
| scripts/run_mc_autostart.sh                                                       | Shell Script     |         12 |          4 |          5 |         21 |       25.00% |
| scripts/run_mc_debug.sh                                                           | Shell Script     |          4 |          4 |          3 |         11 |       50.00% |
| scripts/run_rc_test.sh                                                            | Shell Script     |          2 |          1 |          1 |          4 |       33.33% |
| scripts/send_to_mini_cheetah.sh                                                   | Shell Script     |         22 |          3 |          7 |         32 |       12.00% |
| sim/include/Checkerboard.h                                                        | C++              |         20 |         16 |         11 |         47 |       44.44% |
| sim/include/Colors.h                                                              | C++              |         10 |          5 |          4 |         19 |       33.33% |
| sim/include/DrawList.h                                                            | C++              |        201 |         86 |         47 |        334 |       29.97% |
| sim/include/GameController.h                                                      | C++              |         16 |          6 |          8 |         30 |       27.27% |
| sim/include/Graphics3D.h                                                          | C++              |        148 |         17 |         47 |        212 |       10.30% |
| sim/include/JoystickTest.h                                                        | C++              |         21 |          0 |          9 |         30 |        0.00% |
| sim/include/RobotInterface.h                                                      | C++              |         65 |          5 |         13 |         83 |        7.14% |
| sim/include/SimControlPanel.h                                                     | C++              |        119 |          6 |         49 |        174 |        4.80% |
| sim/include/Simulation.h                                                          | C++              |        118 |         16 |         27 |        161 |       11.94% |
| sim/include/obj_loader.h                                                          | C++              |          7 |          3 |          5 |         15 |       30.00% |
| sim/include/sim_utilities.h                                                       | C++              |         18 |          9 |          7 |         34 |       33.33% |
| sim/src/Checkerboard.cpp                                                          | C++              |         53 |         19 |         13 |         85 |       26.39% |
| sim/src/DrawList.cpp                                                              | C++              |        277 |         49 |         64 |        390 |       15.03% |
| sim/src/GameController.cpp                                                        | C++              |         53 |         26 |          9 |         88 |       32.91% |
| sim/src/Graphics3D.cpp                                                            | C++              |        867 |         82 |        161 |      1,110 |        8.64% |
| sim/src/JoystickTest.cpp                                                          | C++              |         29 |          0 |         11 |         40 |        0.00% |
| sim/src/MiniCheetahDebug.cpp                                                      | C++              |        154 |          2 |         36 |        192 |        1.28% |
| sim/src/MiniCheetahDebug.h                                                        | C++              |         32 |          0 |         10 |         42 |        0.00% |
| sim/src/RobotInterface.cpp                                                        | C++              |        176 |          7 |         24 |        207 |        3.83% |
| sim/src/SimControlPanel.cpp                                                       | C++              |        660 |         79 |        133 |        872 |       10.69% |
| sim/src/Simulation.cpp                                                            | C++              |        608 |        128 |        107 |        843 |       17.39% |
| sim/src/main.cpp                                                                  | C++              |         25 |          9 |          8 |         42 |       26.47% |
| sim/src/obj_loader.cpp                                                            | C++              |         63 |          8 |          9 |         80 |       11.27% |
| sim/src/sim_utilities.cpp                                                         | C++              |          1 |          3 |          2 |          6 |       75.00% |
| third-party/Goldfarb_Optimizer/Array.cc                                           | C++              |         14 |          9 |          7 |         30 |       39.13% |
| third-party/Goldfarb_Optimizer/Array.hh                                           | C++              |      2,150 |         45 |        347 |      2,542 |        2.05% |
| third-party/Goldfarb_Optimizer/QuadProg++.cc                                      | C++              |        655 |        101 |         88 |        844 |       13.36% |
| third-party/Goldfarb_Optimizer/QuadProg++.hh                                      | C++              |         17 |         59 |          9 |         85 |       77.63% |
| third-party/JCQP/CholeskyDenseSolver.cpp                                          | C++              |        383 |         60 |         63 |        506 |       13.54% |
| third-party/JCQP/CholeskyDenseSolver.h                                            | C++              |         31 |          5 |          8 |         44 |       13.89% |
| third-party/JCQP/CholeskySparseSolver.cpp                                         | C++              |        411 |         92 |         91 |        594 |       18.29% |
| third-party/JCQP/CholeskySparseSolver.h                                           | C++              |         46 |          0 |          9 |         55 |        0.00% |
| third-party/JCQP/OsqpTest.cpp                                                     | C++              |         28 |         30 |         13 |         71 |       51.72% |
| third-party/JCQP/OsqpTest.h                                                       | C++              |          6 |          0 |          6 |         12 |        0.00% |
| third-party/JCQP/ProblemGenerator.cpp                                             | C++              |         84 |         34 |         27 |        145 |       28.81% |
| third-party/JCQP/ProblemGenerator.h                                               | C++              |         10 |          0 |          5 |         15 |        0.00% |
| third-party/JCQP/QpProblem.cpp                                                    | C++              |        290 |         37 |         86 |        413 |       11.31% |
| third-party/JCQP/QpProblem.h                                                      | C++              |         98 |          5 |         27 |        130 |        4.85% |
| third-party/JCQP/SparseMatrixMath.cpp                                             | C++              |          1 |          0 |          1 |          2 |        0.00% |
| third-party/JCQP/SparseMatrixMath.h                                               | C++              |         76 |         25 |         16 |        117 |       24.75% |
| third-party/JCQP/Timer.h                                                          | C++              |         27 |          0 |          9 |         36 |        0.00% |
| third-party/JCQP/amd/include/SuiteSparse_config.h                                 | C++              |        102 |        111 |         31 |        244 |       52.11% |
| third-party/JCQP/amd/include/amd.h                                                | C++              |        115 |        251 |         36 |        402 |       68.58% |
| third-party/JCQP/amd/include/amd_internal.h                                       | C++              |        199 |         73 |         59 |        331 |       26.84% |
| third-party/JCQP/amd/include/glob_opts.h                                          | C++              |        100 |         40 |         44 |        184 |       28.57% |
| third-party/JCQP/amd/include/osqp_configure.h                                     | C++              |         15 |         12 |         13 |         40 |       44.44% |
| third-party/JCQP/amd/src/SuiteSparse_config.c                                     | C                |        217 |        142 |         55 |        414 |       39.55% |
| third-party/JCQP/amd/src/amd_1.c                                                  | C                |        114 |         48 |         19 |        181 |       29.63% |
| third-party/JCQP/amd/src/amd_2.c                                                  | C                |        757 |        887 |        199 |      1,843 |       53.95% |
| third-party/JCQP/amd/src/amd_aat.c                                                | C                |        127 |         39 |         19 |        185 |       23.49% |
| third-party/JCQP/amd/src/amd_control.c                                            | C                |         43 |         12 |         10 |         65 |       21.82% |
| third-party/JCQP/amd/src/amd_defaults.c                                           | C                |         17 |         14 |          7 |         38 |       45.16% |
| third-party/JCQP/amd/src/amd_info.c                                               | C                |         88 |         16 |         16 |        120 |       15.38% |
| third-party/JCQP/amd/src/amd_order.c                                              | C                |        138 |         38 |         24 |        200 |       21.59% |
| third-party/JCQP/amd/src/amd_post_tree.c                                          | C                |         73 |         34 |         14 |        121 |       31.78% |
| third-party/JCQP/amd/src/amd_postorder.c                                          | C                |        148 |         33 |         26 |        207 |       18.23% |
| third-party/JCQP/amd/src/amd_preprocess.c                                         | C                |         63 |         37 |         19 |        119 |       37.00% |
| third-party/JCQP/amd/src/amd_valid.c                                              | C                |         50 |         37 |          6 |         93 |       42.53% |
| third-party/JCQP/eigenvalues.cpp                                                  | C++              |         25 |          4 |          5 |         34 |       13.79% |
| third-party/JCQP/eigenvalues.h                                                    | C++              |          6 |          0 |          4 |         10 |        0.00% |
| third-party/JCQP/main.cpp                                                         | C++              |         63 |         30 |         26 |        119 |       32.26% |
| third-party/JCQP/qpOASES.cpp                                                      | C++              |         44 |          2 |         10 |         56 |        4.35% |
| third-party/JCQP/qpOASES.h                                                        | C++              |          7 |          0 |          5 |         12 |        0.00% |
| third-party/JCQP/types.h                                                          | C++              |         20 |          0 |          7 |         27 |        0.00% |
| third-party/ParamHandler/ParamHandler.cpp                                         | C++              |         43 |          0 |          7 |         50 |        0.00% |
| third-party/ParamHandler/ParamHandler.hpp                                         | C++              |         85 |          0 |         20 |        105 |        0.00% |
| third-party/ParamHandler/README.md                                                | Markdown         |         30 |          0 |         22 |         52 |        0.00% |
| third-party/ParamHandler/dynacore_yaml-cpp/anchor.h                               | C++              |         13 |          0 |          5 |         18 |        0.00% |
| third-party/ParamHandler/dynacore_yaml-cpp/binary.h                               | C++              |         56 |          0 |         12 |         68 |        0.00% |
| third-party/ParamHandler/dynacore_yaml-cpp/contrib/anchordict.h                   | C++              |         25 |          7 |          8 |         40 |       21.88% |
| third-party/ParamHandler/dynacore_yaml-cpp/contrib/graphbuilder.h                 | C++              |         95 |         25 |         28 |        148 |       20.83% |
| third-party/ParamHandler/dynacore_yaml-cpp/dll.h                                  | C++              |         18 |         11 |          5 |         34 |       37.93% |
| third-party/ParamHandler/dynacore_yaml-cpp/emitfromevents.h                       | C++              |         43 |          0 |         15 |         58 |        0.00% |
| third-party/ParamHandler/dynacore_yaml-cpp/emitter.h                              | C++              |        204 |          6 |         45 |        255 |        2.86% |
| third-party/ParamHandler/dynacore_yaml-cpp/emitterdef.h                           | C++              |         13 |          0 |          4 |         17 |        0.00% |
| third-party/ParamHandler/dynacore_yaml-cpp/emittermanip.h                         | C++              |         95 |         12 |         31 |        138 |       11.21% |
| third-party/ParamHandler/dynacore_yaml-cpp/emitterstyle.h                         | C++              |         13 |          0 |          4 |         17 |        0.00% |
| third-party/ParamHandler/dynacore_yaml-cpp/eventhandler.h                         | C++              |         30 |          0 |         11 |         41 |        0.00% |
| third-party/ParamHandler/dynacore_yaml-cpp/exceptions.h                           | C++              |        231 |          4 |         33 |        268 |        1.70% |
| third-party/ParamHandler/dynacore_yaml-cpp/mark.h                                 | C++              |         21 |          0 |          9 |         30 |        0.00% |
| third-party/ParamHandler/dynacore_yaml-cpp/node/convert.h                         | C++              |        270 |         16 |         46 |        332 |        5.59% |
| third-party/ParamHandler/dynacore_yaml-cpp/node/detail/bool_type.h                | C++              |         22 |          0 |          5 |         27 |        0.00% |
| third-party/ParamHandler/dynacore_yaml-cpp/node/detail/impl.h                     | C++              |        160 |          2 |         24 |        186 |        1.23% |
| third-party/ParamHandler/dynacore_yaml-cpp/node/detail/iterator.h                 | C++              |         74 |          0 |         19 |         93 |        0.00% |
| third-party/ParamHandler/dynacore_yaml-cpp/node/detail/iterator_fwd.h             | C++              |         21 |          0 |          7 |         28 |        0.00% |
| third-party/ParamHandler/dynacore_yaml-cpp/node/detail/memory.h                   | C++              |         36 |          0 |         11 |         47 |        0.00% |
| third-party/ParamHandler/dynacore_yaml-cpp/node/detail/node.h                     | C++              |        135 |         11 |         24 |        170 |        7.53% |
| third-party/ParamHandler/dynacore_yaml-cpp/node/detail/node_data.h                | C++              |         94 |          7 |         27 |        128 |        6.93% |
| third-party/ParamHandler/dynacore_yaml-cpp/node/detail/node_iterator.h            | C++              |        150 |          0 |         31 |        181 |        0.00% |
| third-party/ParamHandler/dynacore_yaml-cpp/node/detail/node_ref.h                 | C++              |         79 |          4 |         16 |         99 |        4.82% |
| third-party/ParamHandler/dynacore_yaml-cpp/node/emit.h                            | C++              |         18 |          6 |          9 |         33 |       25.00% |
| third-party/ParamHandler/dynacore_yaml-cpp/node/impl.h                            | C++              |        366 |         11 |         72 |        449 |        2.92% |
| third-party/ParamHandler/dynacore_yaml-cpp/node/iterator.h                        | C++              |         27 |          0 |          5 |         32 |        0.00% |
| third-party/ParamHandler/dynacore_yaml-cpp/node/node.h                            | C++              |        107 |          9 |         30 |        146 |        7.76% |
| third-party/ParamHandler/dynacore_yaml-cpp/node/parse.h                           | C++              |         23 |         42 |         14 |         79 |       64.62% |
| third-party/ParamHandler/dynacore_yaml-cpp/node/ptr.h                             | C++              |         24 |          0 |          6 |         30 |        0.00% |
| third-party/ParamHandler/dynacore_yaml-cpp/node/type.h                            | C++              |         13 |          0 |          4 |         17 |        0.00% |
| third-party/ParamHandler/dynacore_yaml-cpp/noncopyable.h                          | C++              |         19 |          1 |          6 |         26 |        5.00% |
| third-party/ParamHandler/dynacore_yaml-cpp/null.h                                 | C++              |         19 |          0 |          8 |         27 |        0.00% |
| third-party/ParamHandler/dynacore_yaml-cpp/ostream_wrapper.h                      | C++              |         57 |          0 |         16 |         73 |        0.00% |
| third-party/ParamHandler/dynacore_yaml-cpp/parser.h                               | C++              |         37 |         32 |         18 |         87 |       46.38% |
| third-party/ParamHandler/dynacore_yaml-cpp/stlemitter.h                           | C++              |         43 |          0 |          9 |         52 |        0.00% |
| third-party/ParamHandler/dynacore_yaml-cpp/traits.h                               | C++              |         93 |          0 |         11 |        104 |        0.00% |
| third-party/ParamHandler/dynacore_yaml-cpp/yaml.h                                 | C++              |         20 |          0 |          5 |         25 |        0.00% |
| third-party/ParamHandler/src/binary.cpp                                           | C++              |         80 |          0 |         14 |         94 |        0.00% |
| third-party/ParamHandler/src/collectionstack.h                                    | C++              |         32 |          0 |          8 |         40 |        0.00% |
| third-party/ParamHandler/src/contrib/graphbuilder.cpp                             | C++              |         14 |          0 |          4 |         18 |        0.00% |
| third-party/ParamHandler/src/contrib/graphbuilderadapter.cpp                      | C++              |         78 |          0 |         17 |         95 |        0.00% |
| third-party/ParamHandler/src/contrib/graphbuilderadapter.h                        | C++              |         62 |          0 |         18 |         80 |        0.00% |
| third-party/ParamHandler/src/convert.cpp                                          | C++              |         52 |          9 |         15 |         76 |       14.75% |
| third-party/ParamHandler/src/directives.cpp                                       | C++              |         18 |          1 |          4 |         23 |        5.26% |
| third-party/ParamHandler/src/directives.h                                         | C++              |         22 |          0 |          8 |         30 |        0.00% |
| third-party/ParamHandler/src/emit.cpp                                             | C++              |         22 |          0 |          4 |         26 |        0.00% |
| third-party/ParamHandler/src/emitfromevents.cpp                                   | C++              |        103 |          0 |         17 |        120 |        0.00% |
| third-party/ParamHandler/src/emitter.cpp                                          | C++              |        741 |         21 |        150 |        912 |        2.76% |
| third-party/ParamHandler/src/emitterstate.cpp                                     | C++              |        291 |         17 |         58 |        366 |        5.52% |
| third-party/ParamHandler/src/emitterstate.h                                       | C++              |        160 |          7 |         37 |        204 |        4.19% |
| third-party/ParamHandler/src/emitterutils.cpp                                     | C++              |        424 |         13 |         47 |        484 |        2.97% |
| third-party/ParamHandler/src/emitterutils.h                                       | C++              |         41 |          0 |         10 |         51 |        0.00% |
| third-party/ParamHandler/src/exceptions.cpp                                       | C++              |         22 |          3 |          7 |         32 |       12.00% |
| third-party/ParamHandler/src/exp.cpp                                              | C++              |        103 |         18 |         16 |        137 |       14.88% |
| third-party/ParamHandler/src/exp.h                                                | C++              |        194 |         14 |         15 |        223 |        6.73% |
| third-party/ParamHandler/src/indentation.h                                        | C++              |         33 |          0 |          9 |         42 |        0.00% |
| third-party/ParamHandler/src/memory.cpp                                           | C++              |         21 |          0 |          6 |         27 |        0.00% |
| third-party/ParamHandler/src/node.cpp                                             | C++              |         11 |          0 |          2 |         13 |        0.00% |
| third-party/ParamHandler/src/node_data.cpp                                        | C++              |        248 |          3 |         50 |        301 |        1.20% |
| third-party/ParamHandler/src/nodebuilder.cpp                                      | C++              |        107 |          0 |         24 |        131 |        0.00% |
| third-party/ParamHandler/src/nodebuilder.h                                        | C++              |         54 |          0 |         17 |         71 |        0.00% |
| third-party/ParamHandler/src/nodeevents.cpp                                       | C++              |         90 |          0 |         12 |        102 |        0.00% |
| third-party/ParamHandler/src/nodeevents.h                                         | C++              |         48 |          0 |         17 |         65 |        0.00% |
| third-party/ParamHandler/src/null.cpp                                             | C++              |          8 |          0 |          3 |         11 |        0.00% |
| third-party/ParamHandler/src/ostream_wrapper.cpp                                  | C++              |         47 |          0 |         11 |         58 |        0.00% |
| third-party/ParamHandler/src/parse.cpp                                            | C++              |         59 |          0 |         14 |         73 |        0.00% |
| third-party/ParamHandler/src/parser.cpp                                           | C++              |         99 |          3 |         28 |        130 |        2.94% |
| third-party/ParamHandler/src/ptr_vector.h                                         | C++              |         30 |          1 |         13 |         44 |        3.23% |
| third-party/ParamHandler/src/regex_yaml.cpp                                       | C++              |         34 |          2 |         10 |         46 |        5.56% |
| third-party/ParamHandler/src/regex_yaml.h                                         | C++              |         69 |          3 |         16 |         88 |        4.17% |
| third-party/ParamHandler/src/regeximpl.h                                          | C++              |        136 |         26 |         25 |        187 |       16.05% |
| third-party/ParamHandler/src/scanner.cpp                                          | C++              |        267 |         48 |         72 |        387 |       15.24% |
| third-party/ParamHandler/src/scanner.h                                            | C++              |        105 |         48 |         38 |        191 |       31.37% |
| third-party/ParamHandler/src/scanscalar.cpp                                       | C++              |        185 |         34 |         32 |        251 |       15.53% |
| third-party/ParamHandler/src/scanscalar.h                                         | C++              |         44 |         10 |         10 |         64 |       18.52% |
| third-party/ParamHandler/src/scantag.cpp                                          | C++              |         61 |          2 |         19 |         82 |        3.17% |
| third-party/ParamHandler/src/scantag.h                                            | C++              |         15 |          0 |          5 |         20 |        0.00% |
| third-party/ParamHandler/src/scantoken.cpp                                        | C++              |        276 |         79 |         83 |        438 |       22.25% |
| third-party/ParamHandler/src/setting.h                                            | C++              |         73 |          2 |         21 |         96 |        2.67% |
| third-party/ParamHandler/src/simplekey.cpp                                        | C++              |         80 |         23 |         26 |        129 |       22.33% |
| third-party/ParamHandler/src/singledocparser.cpp                                  | C++              |        306 |         39 |         70 |        415 |       11.30% |
| third-party/ParamHandler/src/singledocparser.h                                    | C++              |         50 |          0 |         16 |         66 |        0.00% |
| third-party/ParamHandler/src/stream.cpp                                           | C++              |        367 |         26 |         56 |        449 |        6.62% |
| third-party/ParamHandler/src/stream.h                                             | C++              |         59 |          2 |         16 |         77 |        3.28% |
| third-party/ParamHandler/src/streamcharsource.h                                   | C++              |         38 |          0 |         11 |         49 |        0.00% |
| third-party/ParamHandler/src/stringsource.h                                       | C++              |         39 |          0 |         10 |         49 |        0.00% |
| third-party/ParamHandler/src/tag.cpp                                              | C++              |         45 |          1 |          4 |         50 |        2.17% |
| third-party/ParamHandler/src/tag.h                                                | C++              |         26 |          0 |          8 |         34 |        0.00% |
| third-party/ParamHandler/src/token.h                                              | C++              |         59 |          2 |          9 |         70 |        3.28% |
| third-party/SOEM/osal/linux/osal.c                                                | C                |        111 |         45 |         22 |        178 |       28.85% |
| third-party/SOEM/osal/linux/osal_defs.h                                           | C++              |         19 |         40 |          7 |         66 |       67.80% |
| third-party/SOEM/osal/osal.h                                                      | C++              |         41 |         20 |         10 |         71 |       32.79% |
| third-party/SOEM/oshw/linux/nicdrv.c                                              | C                |        404 |        224 |         54 |        682 |       35.67% |
| third-party/SOEM/oshw/linux/nicdrv.h                                              | C++              |         73 |         70 |         14 |        157 |       48.95% |
| third-party/SOEM/oshw/linux/oshw.c                                                | C                |         76 |         70 |         14 |        160 |       47.95% |
| third-party/SOEM/oshw/linux/oshw.h                                                | C++              |         16 |         44 |          8 |         68 |       73.33% |
| third-party/SOEM/soem/ethercat.h                                                  | C++              |         13 |         44 |          5 |         62 |       77.19% |
| third-party/SOEM/soem/ethercatbase.c                                              | C                |        333 |        267 |         73 |        673 |       44.50% |
| third-party/SOEM/soem/ethercatbase.h                                              | C++              |         48 |         44 |          8 |        100 |       47.83% |
| third-party/SOEM/soem/ethercatcoe.c                                               | C                |      1,007 |        474 |         61 |      1,542 |       32.01% |
| third-party/SOEM/soem/ethercatcoe.h                                               | C++              |         59 |         61 |         12 |        132 |       50.83% |
| third-party/SOEM/soem/ethercatconfig.c                                            | C                |      1,189 |        212 |         67 |      1,468 |       15.13% |
| third-party/SOEM/soem/ethercatconfig.h                                            | C++              |         24 |         44 |          9 |         77 |       64.71% |
| third-party/SOEM/soem/ethercatconfiglist.h                                        | C++              |         37 |         58 |          8 |        103 |       61.05% |
| third-party/SOEM/soem/ethercatdc.c                                                | C                |        341 |        115 |         29 |        485 |       25.22% |
| third-party/SOEM/soem/ethercatdc.h                                                | C++              |         18 |         44 |          8 |         70 |       70.97% |
| third-party/SOEM/soem/ethercatfoe.c                                               | C                |        285 |        109 |         15 |        409 |       27.66% |
| third-party/SOEM/soem/ethercatfoe.h                                               | C++              |         18 |         44 |          8 |         70 |       70.97% |
| third-party/SOEM/soem/ethercatmain.c                                              | C                |      1,524 |        566 |        178 |      2,268 |       27.08% |
| third-party/SOEM/soem/ethercatmain.h                                              | C++              |        349 |        175 |         32 |        556 |       33.40% |
| third-party/SOEM/soem/ethercatprint.c                                             | C                |        285 |         89 |         28 |        402 |       23.80% |
| third-party/SOEM/soem/ethercatprint.h                                             | C++              |         17 |         44 |          8 |         69 |       72.13% |
| third-party/SOEM/soem/ethercatsoe.c                                               | C                |        284 |        124 |         18 |        426 |       30.39% |
| third-party/SOEM/soem/ethercatsoe.h                                               | C++              |         88 |         63 |         15 |        166 |       41.72% |
| third-party/SOEM/soem/ethercattype.h                                              | C++              |        361 |        184 |         49 |        594 |       33.76% |
| third-party/inih/INIReader.cpp                                                    | C++              |         94 |          8 |         18 |        120 |        7.84% |
| third-party/inih/INIReader.h                                                      | C++              |         28 |         26 |         14 |         68 |       48.15% |
| third-party/inih/ini.c                                                            | C                |        135 |         26 |         21 |        182 |       16.15% |
